cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26677922,126190,100,Lakeland,A,Excessively drained,19.0,79648992.0,0.0,56.0,92.0,0.07,93.6,5.0,1.5,0.75
26677922,126190,100,Lakeland,A,Excessively drained,19.0,79648993.0,56.0,203.0,92.0,0.05,95.0,3.5,1.55,0.25
26677933,126209,100,Troup,A,Somewhat excessively drained,4.0,79649026.0,0.0,173.0,92.0,0.1,83.8,7.0,1.5,0.75
26677933,126209,100,Troup,A,Somewhat excessively drained,4.0,79649027.0,173.0,203.0,9.0,0.12,57.0,25.0,1.5,0.25
26677887,126210,100,Troup,A,Somewhat excessively drained,9.0,79648894.0,0.0,173.0,92.0,0.1,83.8,7.0,1.5,0.75
26677887,126210,100,Troup,A,Somewhat excessively drained,9.0,79648895.0,173.0,203.0,9.0,0.12,57.0,25.0,1.5,0.25
26677901,126220,60,Vaucluse,C,Well drained,19.0,79648920.0,0.0,10.0,92.0,0.06,84.9,6.0,1.45,0.75
26677901,126220,60,Vaucluse,C,Well drained,19.0,79648919.0,10.0,25.0,92.0,0.06,84.9,6.0,1.45,0.25
26677901,126220,60,Vaucluse,C,Well drained,19.0,79648921.0,25.0,71.0,9.0,0.13,55.8,26.5,1.55,0.25
26677901,126220,60,Vaucluse,C,Well drained,19.0,79648918.0,71.0,152.0,2.0,0.06,54.1,31.5,1.85,0.25
26677901,126220,60,Vaucluse,C,Well drained,19.0,79648917.0,152.0,203.0,28.0,0.06,67.2,17.5,1.73,0.25
26677902,126220,40,Ailey,C,Well drained,19.0,79648926.0,0.0,23.0,92.0,0.04,81.9,7.5,1.4,0.75
26677902,126220,40,Ailey,C,Well drained,19.0,79648922.0,23.0,61.0,92.0,0.04,81.9,7.5,1.4,0.25
26677902,126220,40,Ailey,C,Well drained,19.0,79648923.0,61.0,97.0,9.0,0.11,57.0,25.0,1.63,0.25
26677902,126220,40,Ailey,C,Well drained,19.0,79648924.0,97.0,114.0,1.0,0.08,55.8,26.5,1.75,0.25
26677902,126220,40,Ailey,C,Well drained,19.0,79648925.0,114.0,203.0,1.0,0.06,59.6,22.5,1.88,0.25
26513546,325105,80,Dothan,B,Well drained,1.0,79104806.0,0.0,30.0,28.0,0.08,85.7,5.3,1.58,0.25
26513546,325105,80,Dothan,B,Well drained,1.0,79104807.0,30.0,61.0,9.0,0.14,61.8,29.8,1.61,0.15
26513546,325105,80,Dothan,B,Well drained,1.0,79104808.0,61.0,86.0,9.0,0.14,61.8,29.8,1.61,0.15
26513546,325105,80,Dothan,B,Well drained,1.0,79104809.0,86.0,122.0,9.0,0.14,61.8,30.0,1.61,0.15
26513546,325105,80,Dothan,B,Well drained,1.0,79104810.0,122.0,165.0,2.7,0.09,58.0,34.0,1.67,0.1
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104915.0,0.0,23.0,92.0,0.1,85.7,5.3,1.45,1.0
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104909.0,23.0,66.0,92.0,0.1,87.2,6.1,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104911.0,66.0,89.0,28.0,0.14,74.6,18.1,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104912.0,89.0,122.0,9.0,0.13,61.8,29.8,1.68,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104913.0,122.0,155.0,9.0,0.13,61.8,29.8,1.68,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104914.0,155.0,196.0,9.0,0.16,61.8,29.8,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1.0,79104910.0,196.0,203.0,9.0,0.16,61.8,29.8,1.5,0.15
26543323,325576,80,Alapaha,B/D,Poorly drained,1.0,79205933.0,0.0,13.0,92.0,0.07,86.0,7.5,1.59,1.5
26543323,325576,80,Alapaha,B/D,Poorly drained,1.0,79205934.0,13.0,28.0,92.0,0.07,86.0,7.5,1.68,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1.0,79205935.0,28.0,84.0,92.0,0.07,86.0,7.5,1.68,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1.0,79205936.0,84.0,122.0,9.0,0.12,59.6,22.5,1.61,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1.0,79205937.0,122.0,147.0,2.7,0.09,59.6,22.5,1.65,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1.0,79205938.0,147.0,178.0,2.7,0.09,59.6,22.5,1.65,0.25
26513225,2455431,80,Orangeburg,B,Well drained,7.0,79104140.0,0.0,13.0,31.0,0.13,75.0,15.0,1.6,1.25
26513225,2455431,80,Orangeburg,B,Well drained,7.0,79104141.0,13.0,30.0,31.0,0.13,75.0,15.0,1.6,0.25
26513225,2455431,80,Orangeburg,B,Well drained,7.0,79104138.0,30.0,56.0,9.0,0.15,61.5,26.5,1.64,0.25
26513225,2455431,80,Orangeburg,B,Well drained,7.0,79104139.0,56.0,203.0,9.0,0.11,53.5,32.5,1.6,0.25
26543316,325583,80,Cowarts,C,Well drained,7.0,79205894.0,0.0,18.0,46.0,0.09,83.0,8.0,1.6,1.25
26543316,325583,80,Cowarts,C,Well drained,7.0,79205895.0,18.0,25.0,46.0,0.09,83.0,8.0,1.64,0.6
26543316,325583,80,Cowarts,C,Well drained,7.0,79205896.0,25.0,35.0,28.0,0.08,69.5,12.5,1.56,0.75
26543316,325583,80,Cowarts,C,Well drained,7.0,79205897.0,35.0,66.0,9.0,0.11,61.0,32.5,1.6,0.25
26543316,325583,80,Cowarts,C,Well drained,7.0,79205898.0,66.0,91.0,9.0,0.11,61.0,32.5,1.6,0.25
26543316,325583,80,Cowarts,C,Well drained,7.0,79205899.0,91.0,165.0,2.0,0.09,61.0,32.5,1.66,0.25
26543319,325593,80,Fuquay,B,Well drained,3.0,79205916.0,0.0,25.0,92.0,0.07,85.7,5.3,1.59,1.0
26543319,325593,80,Fuquay,B,Well drained,3.0,79205911.0,25.0,56.0,92.0,0.07,87.2,6.1,1.65,0.15
26543319,325593,80,Fuquay,B,Well drained,3.0,79205912.0,56.0,71.0,92.0,0.07,87.2,6.1,1.65,0.15
26543319,325593,80,Fuquay,B,Well drained,3.0,79205913.0,71.0,91.0,14.0,0.14,81.3,15.4,1.64,0.15
26543319,325593,80,Fuquay,B,Well drained,3.0,79205914.0,91.0,109.0,9.0,0.12,61.8,29.8,1.66,0.15
26543319,325593,80,Fuquay,B,Well drained,3.0,79205915.0,109.0,165.0,2.7,0.12,61.8,29.8,1.68,0.15
26543302,325614,100,Susquehanna,D,Somewhat poorly drained,4.0,79205837.0,0.0,15.0,9.0,0.13,69.0,7.0,1.53,1.25
26543302,325614,100,Susquehanna,D,Somewhat poorly drained,4.0,79205838.0,15.0,203.0,0.21,0.18,23.3,47.5,1.38,0.25
26543314,325617,85,Tifton,B,Well drained,3.0,79205881.0,0.0,28.0,91.5,0.11,84.1,6.5,1.62,0.75
26543314,325617,85,Tifton,B,Well drained,3.0,79205882.0,28.0,56.0,28.0,0.17,70.5,19.5,1.6,0.5
26543314,325617,85,Tifton,B,Well drained,3.0,79205885.0,56.0,102.0,9.0,0.16,63.5,27.0,1.6,0.25
26543314,325617,85,Tifton,B,Well drained,3.0,79205886.0,102.0,127.0,2.7,0.09,64.2,27.9,1.68,0.12
26543314,325617,85,Tifton,B,Well drained,3.0,79205887.0,127.0,152.0,2.7,0.09,62.2,29.9,1.68,0.12
26543314,325617,85,Tifton,B,Well drained,3.0,79205883.0,152.0,165.0,2.7,0.09,56.6,35.4,1.47,0.1
26543314,325617,85,Tifton,B,Well drained,3.0,79205884.0,165.0,203.0,0.91,0.16,62.5,29.5,1.54,0.1
26546674,325758,45,Kinston,B/D,Poorly drained,1.0,79214971.0,0.0,20.0,9.0,0.18,39.5,24.0,1.42,3.0
26546674,325758,45,Kinston,B/D,Poorly drained,1.0,79214972.0,20.0,38.0,9.0,0.17,35.0,30.0,1.48,1.0
26546674,325758,45,Kinston,B/D,Poorly drained,1.0,79214973.0,38.0,84.0,28.0,0.13,68.0,12.0,1.44,2.0
26546674,325758,45,Kinston,B/D,Poorly drained,1.0,79214974.0,84.0,203.0,9.0,0.16,58.5,26.5,1.53,0.75
26546673,325758,35,Bibb,A/D,Poorly drained,1.0,79214970.0,0.0,8.0,28.0,0.17,63.9,8.5,1.48,2.0
26546673,325758,35,Bibb,A/D,Poorly drained,1.0,79214967.0,8.0,68.0,28.0,0.12,66.6,10.0,1.56,0.5
26546673,325758,35,Bibb,A/D,Poorly drained,1.0,79214968.0,68.0,114.0,28.0,0.13,70.0,10.0,1.48,2.0
26546673,325758,35,Bibb,A/D,Poorly drained,1.0,79214969.0,114.0,203.0,28.0,0.12,70.0,10.0,1.56,0.5
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1.0,79214750.0,0.0,15.0,9.0,0.2,39.8,22.5,1.45,2.5
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1.0,79214751.0,15.0,71.0,9.0,0.2,19.2,26.5,1.4,1.25
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1.0,79214752.0,71.0,152.0,9.0,0.2,19.2,26.5,1.4,1.25
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1.0,79214749.0,152.0,178.0,23.0,0.12,41.1,22.0,1.4,2.0
26546621,325759,30,Chastain,C/D,Poorly drained,1.0,79214743.0,0.0,18.0,2.7,0.15,24.0,25.0,1.3,3.5
26546621,325759,30,Chastain,C/D,Poorly drained,1.0,79214744.0,18.0,122.0,0.9,0.14,5.5,47.5,1.4,2.0
26546621,325759,30,Chastain,C/D,Poorly drained,1.0,79214745.0,122.0,152.0,92.0,0.05,77.7,6.0,1.6,2.0
26546622,325759,15,Riverview,B,Well drained,1.0,79214746.0,0.0,15.0,9.0,0.2,43.0,18.5,1.45,1.25
26546622,325759,15,Riverview,B,Well drained,1.0,79214747.0,15.0,97.0,9.0,0.19,55.8,26.5,1.3,0.75
26546622,325759,15,Riverview,B,Well drained,1.0,79214748.0,97.0,152.0,28.0,0.09,66.0,11.0,1.35,0.75
26546625,325761,95,Clarendon,C,Moderately well drained,1.0,79214756.0,0.0,43.0,28.0,0.12,66.6,10.0,1.4,1.75
26546625,325761,95,Clarendon,C,Moderately well drained,1.0,79214757.0,43.0,102.0,9.0,0.13,55.8,26.5,1.5,0.25
26546625,325761,95,Clarendon,C,Moderately well drained,1.0,79214758.0,102.0,152.0,2.7,0.1,55.1,27.5,1.55,0.25
26546646,325765,80,Dothan,B,Well drained,3.0,79214824.0,0.0,30.0,28.0,0.08,85.7,5.3,1.58,0.25
26546646,325765,80,Dothan,B,Well drained,3.0,79214825.0,30.0,61.0,9.0,0.14,61.8,29.8,1.61,0.15
26546646,325765,80,Dothan,B,Well drained,3.0,79214826.0,61.0,86.0,9.0,0.14,61.8,29.8,1.61,0.15
26546646,325765,80,Dothan,B,Well drained,3.0,79214827.0,86.0,122.0,9.0,0.14,61.8,30.0,1.61,0.15
26546646,325765,80,Dothan,B,Well drained,3.0,79214828.0,122.0,165.0,2.7,0.09,58.0,34.0,1.67,0.1
26546670,325775,80,Grady,C/D,Poorly drained,1.0,79214950.0,0.0,15.0,9.0,0.13,67.2,17.5,1.54,2.5
26546670,325775,80,Grady,C/D,Poorly drained,1.0,79214951.0,15.0,102.0,0.9,0.14,17.1,55.0,1.36,0.25
26546670,325775,80,Grady,C/D,Poorly drained,1.0,79214949.0,102.0,165.0,0.9,0.12,47.7,50.0,1.54,0.25
26546658,325783,80,Lakeland,A,Excessively drained,13.0,79214885.0,0.0,10.0,92.0,0.07,93.3,2.2,1.66,0.75
26546658,325783,80,Lakeland,A,Excessively drained,13.0,79214886.0,10.0,64.0,92.0,0.05,94.1,2.3,1.64,0.25
26546658,325783,80,Lakeland,A,Excessively drained,13.0,79214887.0,64.0,152.0,92.0,0.05,94.1,2.3,1.64,0.25
26546658,325783,80,Lakeland,A,Excessively drained,13.0,79214888.0,152.0,203.0,92.0,0.05,94.1,2.3,1.64,0.25
26546635,325797,100,Rains,B/D,Poorly drained,1.0,79214785.0,0.0,38.0,28.0,0.12,67.9,12.5,1.45,3.5
26546635,325797,100,Rains,B/D,Poorly drained,1.0,79214786.0,38.0,102.0,9.0,0.13,55.8,26.5,1.45,0.75
26546635,325797,100,Rains,B/D,Poorly drained,1.0,79214787.0,102.0,165.0,9.0,0.13,53.9,29.0,1.4,0.75
26546635,325797,100,Rains,B/D,Poorly drained,1.0,79214788.0,165.0,175.0,9.0,0.13,55.5,30.0,1.45,0.75
26546651,325805,85,Tifton,B,Well drained,3.0,79214848.0,0.0,28.0,91.5,0.11,84.1,6.5,1.62,0.75
26546651,325805,85,Tifton,B,Well drained,3.0,79214849.0,28.0,56.0,28.0,0.17,70.5,19.5,1.6,0.5
26546651,325805,85,Tifton,B,Well drained,3.0,79214852.0,56.0,102.0,9.0,0.16,63.5,27.0,1.6,0.25
26546651,325805,85,Tifton,B,Well drained,3.0,79214853.0,102.0,127.0,2.7,0.09,64.2,27.9,1.68,0.12
26546651,325805,85,Tifton,B,Well drained,3.0,79214854.0,127.0,152.0,2.7,0.09,62.2,29.9,1.68,0.12
26546651,325805,85,Tifton,B,Well drained,3.0,79214850.0,152.0,165.0,2.7,0.09,56.6,35.4,1.47,0.1
26546651,325805,85,Tifton,B,Well drained,3.0,79214851.0,165.0,203.0,0.91,0.16,62.5,29.5,1.54,0.1
26566764,325888,100,Faceville,B,Well drained,7.0,79279448.0,0.0,13.0,92.0,0.08,67.3,12.5,1.53,1.25
26566764,325888,100,Faceville,B,Well drained,7.0,79279449.0,13.0,28.0,9.0,0.14,54.7,28.0,1.48,0.25
26566764,325888,100,Faceville,B,Well drained,7.0,79279450.0,28.0,183.0,9.0,0.15,47.8,45.0,1.43,0.25
26566742,325898,100,Grady,C/D,Poorly drained,1.0,79279391.0,0.0,13.0,9.0,0.13,63.1,17.5,1.35,2.5
26566742,325898,100,Grady,C/D,Poorly drained,1.0,79279392.0,13.0,28.0,2.7,0.13,55.1,27.5,1.48,0.5
26566742,325898,100,Grady,C/D,Poorly drained,1.0,79279393.0,28.0,157.0,0.9,0.14,17.1,55.0,1.55,0.5
26567886,325993,100,Grady,C/D,Poorly drained,1.0,79282854.0,0.0,13.0,9.0,0.14,38.5,25.0,1.33,2.5
26567886,325993,100,Grady,C/D,Poorly drained,1.0,79282855.0,13.0,28.0,2.7,0.13,55.1,27.5,1.48,0.25
26567886,325993,100,Grady,C/D,Poorly drained,1.0,79282856.0,28.0,157.0,0.9,0.14,17.1,55.0,1.55,0.25
26567873,325995,100,Greenville,B,Well drained,4.0,79282815.0,0.0,23.0,23.0,0.11,67.9,12.5,1.48,0.75
26567873,325995,100,Greenville,B,Well drained,4.0,79282816.0,23.0,203.0,9.0,0.16,26.1,45.0,1.45,0.25
26567874,325996,100,Greenville,B,Well drained,7.0,79282817.0,0.0,23.0,23.0,0.11,67.9,12.5,1.48,0.75
26567874,325996,100,Greenville,B,Well drained,7.0,79282818.0,23.0,203.0,9.0,0.16,26.1,45.0,1.45,0.25
26567878,325999,65,Herod,B/D,Poorly drained,1.0,79282827.0,0.0,30.0,9.0,0.16,42.1,20.0,1.4,4.0
26567878,325999,65,Herod,B/D,Poorly drained,1.0,79282828.0,30.0,127.0,9.0,0.17,55.1,27.5,1.4,0.25
26567878,325999,65,Herod,B/D,Poorly drained,1.0,79282829.0,127.0,157.0,9.0,0.14,66.0,19.0,1.4,0.25
26567877,325999,35,Muckalee,B/D,Poorly drained,1.0,79282825.0,0.0,15.0,9.0,0.12,43.0,17.5,1.38,1.5
26567877,325999,35,Muckalee,B/D,Poorly drained,1.0,79282826.0,15.0,163.0,9.0,0.1,67.9,12.5,1.43,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282839.0,0.0,10.0,92.0,0.1,85.8,4.9,1.56,1.9
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282840.0,10.0,33.0,28.0,0.13,81.3,15.4,1.6,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282842.0,33.0,61.0,9.0,0.18,66.0,25.0,1.6,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282841.0,61.0,102.0,9.0,0.1,66.0,25.0,1.78,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282843.0,102.0,152.0,9.0,0.1,66.0,25.0,1.78,0.25
26567881,326001,100,Johnston,A/D,Very poorly drained,1.0,79282844.0,0.0,76.0,28.0,0.23,45.7,12.5,1.35,13.0
26567881,326001,100,Johnston,A/D,Very poorly drained,1.0,79282845.0,76.0,86.0,92.0,0.05,83.8,7.0,1.6,0.25
26567881,326001,100,Johnston,A/D,Very poorly drained,1.0,79282846.0,86.0,152.0,92.0,0.09,70.9,12.5,1.55,0.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282894.0,0.0,18.0,46.0,0.09,82.8,8.0,1.5,1.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282896.0,18.0,30.0,31.0,0.13,80.0,10.5,1.6,0.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282895.0,30.0,137.0,9.0,0.15,61.5,26.5,1.68,0.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282897.0,137.0,203.0,9.0,0.11,53.5,32.5,1.68,0.25
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282862.0,0.0,30.0,28.0,0.1,67.9,12.5,1.45,3.5
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282863.0,30.0,102.0,9.0,0.14,55.8,26.5,1.4,0.75
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282864.0,102.0,157.0,9.0,0.14,53.9,29.0,1.4,0.75
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282865.0,157.0,201.0,9.0,0.13,55.5,30.0,1.45,0.75
26567905,326020,85,Tifton,B,Well drained,3.0,79282938.0,0.0,18.0,28.0,0.08,75.0,15.0,1.55,0.75
26567905,326020,85,Tifton,B,Well drained,3.0,79282936.0,18.0,28.0,9.0,0.1,62.2,29.9,1.73,0.26
26567905,326020,85,Tifton,B,Well drained,3.0,79282935.0,28.0,91.0,9.0,0.09,62.2,29.9,1.73,0.12
26567905,326020,85,Tifton,B,Well drained,3.0,79282937.0,91.0,107.0,9.0,0.09,62.2,29.9,1.73,0.12
26567905,326020,85,Tifton,B,Well drained,3.0,79282934.0,107.0,157.0,2.7,0.09,62.2,29.9,1.73,0.03
26567883,326022,100,Troup,A,Somewhat excessively drained,4.0,79282850.0,0.0,135.0,92.0,0.08,92.9,5.5,1.5,0.75
26567883,326022,100,Troup,A,Somewhat excessively drained,4.0,79282851.0,135.0,203.0,9.0,0.12,57.0,25.0,1.5,0.25
26573123,326255,100,Grady,C/D,Poorly drained,1.0,79300049.0,0.0,13.0,9.0,0.14,38.5,25.0,1.33,2.5
26573123,326255,100,Grady,C/D,Poorly drained,1.0,79300050.0,13.0,28.0,2.7,0.13,55.1,27.5,1.48,0.25
26573123,326255,100,Grady,C/D,Poorly drained,1.0,79300051.0,28.0,157.0,0.9,0.14,17.1,55.0,1.55,0.25
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300206.0,0.0,20.0,9.0,0.18,39.5,24.0,1.42,3.0
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300207.0,20.0,38.0,9.0,0.17,35.0,30.0,1.48,1.0
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300208.0,38.0,84.0,28.0,0.13,68.0,12.0,1.44,2.0
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300209.0,84.0,203.0,9.0,0.16,58.5,26.5,1.53,0.75
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300213.0,0.0,8.0,28.0,0.17,63.9,8.5,1.48,2.0
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300210.0,8.0,68.0,28.0,0.12,66.6,10.0,1.56,0.5
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300211.0,68.0,114.0,28.0,0.13,70.0,10.0,1.48,2.0
26573157,326260,35,Bibb,A/D,Poorly drained,1.0,79300212.0,114.0,203.0,28.0,0.12,70.0,10.0,1.56,0.5
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300159.0,0.0,10.0,92.0,0.07,93.3,2.2,1.66,0.75
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300160.0,10.0,64.0,92.0,0.05,94.1,2.3,1.64,0.25
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300161.0,64.0,152.0,92.0,0.05,94.1,2.3,1.64,0.25
26573147,326265,80,Lakeland,A,Excessively drained,13.0,79300162.0,152.0,203.0,92.0,0.05,94.1,2.3,1.64,0.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300120.0,0.0,18.0,46.0,0.09,82.8,8.0,1.5,1.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300121.0,18.0,30.0,31.0,0.13,80.0,10.5,1.6,0.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300122.0,30.0,137.0,9.0,0.15,61.5,26.5,1.68,0.25
26573139,326268,80,Orangeburg,B,Well drained,1.0,79300123.0,137.0,203.0,9.0,0.11,53.5,32.5,1.68,0.25
26573114,326272,100,Ochlockonee,B,Well drained,1.0,79300027.0,0.0,15.0,28.0,0.15,44.7,14.5,1.5,1.25
26573114,326272,100,Ochlockonee,B,Well drained,1.0,79300028.0,15.0,112.0,9.0,0.15,67.4,13.0,1.5,0.75
26573114,326272,100,Ochlockonee,B,Well drained,1.0,79300029.0,112.0,183.0,28.0,0.09,80.8,10.5,1.55,0.75
26573143,326279,85,Tifton,B,Well drained,3.0,79300143.0,0.0,18.0,28.0,0.08,75.0,15.0,1.55,0.75
26573143,326279,85,Tifton,B,Well drained,3.0,79300141.0,18.0,28.0,9.0,0.1,62.2,29.9,1.73,0.26
26573143,326279,85,Tifton,B,Well drained,3.0,79300140.0,28.0,91.0,9.0,0.09,62.2,29.9,1.73,0.12
26573143,326279,85,Tifton,B,Well drained,3.0,79300142.0,91.0,107.0,9.0,0.09,62.2,29.9,1.73,0.12
26573143,326279,85,Tifton,B,Well drained,3.0,79300139.0,107.0,157.0,2.7,0.09,62.2,29.9,1.73,0.03
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300078.0,0.0,15.0,92.0,0.06,84.9,6.0,1.45,0.75
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300079.0,15.0,38.0,92.0,0.06,84.9,6.0,1.45,0.25
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300080.0,38.0,74.0,9.0,0.13,55.8,26.5,1.55,0.25
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300081.0,74.0,147.0,2.0,0.06,54.1,31.5,1.85,0.25
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300082.0,147.0,183.0,28.0,0.06,67.2,17.5,1.73,0.25
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771384.0,0.0,20.0,9.0,0.18,39.5,24.0,1.42,3.0
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771385.0,20.0,38.0,9.0,0.17,35.0,30.0,1.48,1.0
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771386.0,38.0,84.0,28.0,0.13,68.0,12.0,1.44,2.0
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771387.0,84.0,203.0,9.0,0.16,58.5,26.5,1.53,0.75
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771391.0,0.0,8.0,28.0,0.17,63.9,8.5,1.48,2.0
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771388.0,8.0,68.0,28.0,0.12,66.6,10.0,1.56,0.5
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771389.0,68.0,114.0,28.0,0.13,70.0,10.0,1.48,2.0
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771390.0,114.0,203.0,28.0,0.12,70.0,10.0,1.56,0.5
